customer_number,segment
14,2
45,0
52,2
61,0
63,3
67,0
68,3
71,0
77,0
81,0
83,2
85,2
108,2
110,3
111,2
117,2
119,2
123,0
124,0
133,2
136,0
140,3
144,3
149,3
153,0
156,2
157,0
166,3
170,2
176,3
182,2
186,2
187,3
191,3
198,3
201,2
202,2
206,2
212,2
215,0
218,2
221,0
230,3
231,2
232,2
236,2
244,0
247,0
256,0
257,3
258,1
263,2
269,0
275,3
276,2
277,0
280,1
281,2
283,2
305,1
308,2
309,2
312,2
320,2
324,3
328,0
341,2
342,2
349,2
350,0
352,2
356,2
357,0
359,0
362,2
367,2
368,2
372,2
385,0
386,2
395,2
398,1
401,3
404,0
409,3
412,3
419,0
426,0
427,2
433,2
434,3
445,2
447,3
459,0
474,1
475,0
496,2
498,2
507,3
510,3
515,3
521,2
523,3
535,2
538,0
540,2
541,3
542,0
550,2
559,0
562,2
571,3
572,4
579,2
584,2
588,0
589,0
594,2
611,2
616,2
618,0
620,1
635,2
646,3
647,2
649,3
652,0
655,2
657,1
662,0
667,2
669,2
674,3
687,2
697,2
704,0
711,0
712,3
717,2
724,2
725,2
732,2
734,2
735,2
737,0
746,2
752,2
755,3
759,0
770,2
777,3
786,2
787,2
788,3
792,2
795,3
808,2
825,0
827,2
828,2
832,0
838,0
846,1
848,0
850,3
858,0
859,3
867,3
871,2
872,0
896,2
898,2
905,0
906,2
910,2
912,0
914,2
919,3
921,2
925,1
928,4
935,0
937,2
942,0
945,3
946,2
951,2
953,0
972,3
974,0
977,0
1008,0
1015,3
1018,2
1019,2
1024,3
1030,3
1031,3
1037,2
1043,0
1045,3
1046,2
1050,3
1060,3
1064,2
1071,3
1073,3
1074,2
1075,3
1076,2
1078,3
1079,0
1081,2
1083,0
1089,3
1096,2
1101,0
1109,0
1113,0
1117,2
1118,2
1121,3
1122,2
1128,2
1129,2
1143,0
1145,2
1147,0
1149,2
1152,0
1163,2
1168,0
1172,0
1174,3
1195,0
1201,2
1206,2
1212,2
1218,3
1222,2
1223,0
1224,3
1226,0
1228,2
1233,3
1241,2
1242,0
1250,2
1253,2
1254,2
1257,0
1265,2
1267,2
1268,2
1281,0
1284,3
1286,3
1292,2
1301,3
1308,0
1322,1
1325,3
1330,0
1340,3
1357,2
1364,3
1378,0
1379,1
1382,0
1388,0
1395,2
1397,2
1399,2
1406,0
1412,2
1413,0
1419,3
1421,3
1432,0
1433,2
1437,2
1442,0
1446,0
1454,0
1461,2
1464,0
1469,3
1473,3
1474,3
1480,0
1484,2
1497,2
1500,3
1508,0
1509,3
1511,3
1514,0
1519,3
1520,0
1524,0
1529,3
1540,1
1557,3
1559,2
1567,0
1579,2
1580,3
1588,0
1589,0
1594,2
1595,2
1604,0
1617,3
1623,2
1626,2
1642,1
1652,2
1654,2
1657,3
1663,2
1669,3
1671,2
1676,0
1696,0
1697,0
1704,3
1707,2
1712,0
1716,0
1717,0
1721,2
1722,2
1730,0
1731,0
1759,2
1760,2
1762,3
1764,3
1770,3
1774,2
1780,0
1793,0
1799,0
1800,2
1805,0
1820,3
1831,2
1832,2
1849,2
1864,3
1865,3
1868,3
1869,0
1874,2
1886,2
1891,2
1893,0
1894,2
1901,2
1903,0
1904,2
1905,3
1910,3
1911,0
1918,0
1922,2
1923,2
1925,2
1926,2
1932,3
1935,3
1937,3
1938,2
1939,2
1943,0
1944,0
1969,2
1978,2
1979,2
1988,0
1989,0
1999,0
2011,2
2014,2
2019,3
2024,2
2029,3
2049,1
2056,3
2063,0
2066,2
2067,0
2083,0
2110,3
2111,0
2117,2
2125,2
2131,0
2132,2
2138,2
2139,3
2140,2
2141,2
2146,2
2154,0
2162,3
2174,2
2177,2
2182,0
2183,3
2192,2
2198,0
2207,0
2209,0
2214,0
2216,2
2225,0
2226,2
2232,2
2233,2
2239,2
2242,3
2243,3
2256,2
2260,0
2263,2
2275,2
2277,2
2279,3
2282,0
2290,0
2291,0
2301,1
2312,0
2313,3
2322,2
2326,2
2327,3
2352,3
2359,2
2366,0
2370,2
2376,2
2377,2
2379,3
2388,2
2392,3
2414,2
2417,0
2427,0
2431,0
2438,3
2442,2
2445,2
2450,2
2451,3
2452,2
2466,0
2469,2
2470,2
2473,0
2476,2
2498,2
2499,3
2500,0
2501,1
2503,2
2511,0
2514,2
2519,3
2522,3
2532,3
2539,3
2559,2
2566,3
2568,2
2573,2
2575,2
2581,2
2588,2
2590,3
2600,2
2603,2
2604,0
2606,2
2614,2
